Homo sapiens,9606
Macaca mulatta,9544
Ailuropoda melanoleuca,9646
Bos taurus,9913
Callithrix jacchus,9483
Canis lupus familiaris,9615
Cavia porcellus,10141
Ceratotherium simum simum,73337
Chinchilla lanigera,34839
Condylura cristata,143302
Cricetulus griseus,10029
Dasypus novemcinctus,9361
Echinops telfairi,9371
Equus caballus,9796
Felis catus,9685
Gorilla gorilla gorilla,9595
Heterocephalus glaber,10181
Ictidomys tridecemlineatus,43179
Jaculus jaculus,51337
Loxodonta africana,9785
Mesocricetus auratus,10036
Microtus ochrogaster,79684
Monodelphis domestica,13616
Mus musculus,10090
Mustela putorius furo,9669
Nomascus leucogenys,61853
Ochotona princeps,9978
Octodon degus,10160
Odobenus rosmarus divergens,9708
Orcinus orca,9733
Ornithorhynchus anatinus,9258
Oryctolagus cuniculus,9986
Otolemur garnettii,30611
Ovis aries,9940
Pan troglodytes,9598
Papio anubis,9555
Pongo abelii,9601
Rattus norvegicus,10116
Saimiri boliviensis boliviensis,39432
Sarcophilus harrisii,9305
Sorex araneus,42254
Sus scrofa,9823
Trichechus manatus latirostris,127582
Tursiops truncatus,9739
