Gene,Tier,Homo_sapiens,Macaca_mulatta,Mus_musculus,Rattus_norvegicus,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
ABAT,4,NM_000663,xm_015125586.1,nm_172961.3,xm_006245760.3,xm_019800147.1,xm_012448276.1,nm_001081581.1,xm_009009140.2,xm_010991304.1,xm_005621562.2,xm_013974927.2,xm_005007488.2,xm_014793459.1,xm_012030467.1,xm_005391220.2,xm_007985117.1,xm_006867250.1,xm_004692135.2,xm_003496378.2,xm_004456139.2,xm_013011638.1,xm_004706241.1,xm_006895237.1,xm_008141603.1,xm_014729988.1,xm_016192246.1,xm_019820979.1,xm_008565111.1,xm_004057171.2,xm_004864864.2,xm_005327163.2,xm_004652247.1,xm_003417631.2,xm_005591209.2,xm_011717525.1,xm_011984213.1,xm_017663345.1,xm_005084550.2,xm_012785273.2,xm_013347255.1,xm_016199387.1,xm_007498674.2,xm_004750413.2,xm_008829951.1,xm_012497280.1,xm_004586745.2,xm_004627775.2,xm_004401262.1,xm_004270199.1,xm_002711782.3,xm_012812892.1,xm_012104082.2,xm_014341671.1,xm_016929379.1,xm_009195957.2,nm_001133785.1,xm_012647770.1,xm_011358414.1,xm_010383642.1,xm_016154109.1,xm_003928504.2,xm_004604137.2,nm_214263.1,xm_004373428.1,xm_006140705.2,xm_019928582.1
ACTN2,1,NM_001103,xm_001097795.3,nm_033268.4,nm_001170325.1,xm_002928596.3,xm_012438125.1,nm_001034635.1,xm_008985768.2,xm_010979770.1,xm_851023.4,xm_018042499.1,xm_005005241.2,xm_004432399.2,xm_012036235.1,xm_005404929.2,xm_007989885.1,xm_006872001.1,xm_012730854.1,xm_007648182.2,xm_004473136.2,xm_013021196.1,xm_013007130.1,xm_006895371.1,xm_008149786.1,xm_014733480.1,xm_007527894.2,xm_006937742.3,xm_008573413.1,xm_004028645.2,xm_004854605.1,xm_005320350.1,xm_004662191.2,xm_003410911.2,xm_005539706.2,xm_011729432.1,xm_011976377.1,xm_017676341.1,xm_005071828.2,xm_012738296.2,xm_005365418.1,xm_016199872.1,xm_001368616.2,xm_004774790.2,xm_008855075.1,xm_012506432.1,xm_004578515.2,xm_004640844.2,xm_004413821.2,xm_004271560.1,xm_002717321.3,xm_012813834.1,xm_004021370.3,xm_014343497.1,xm_016941480.1,xm_003893720.3,xm_009250363.1,xm_012656170.1,xm_011375914.1,xm_010384678.1,xm_016163423.1,xm_010345922.1,xm_004620369.1,nm_001243666.1,xm_004372792.1,xm_006145952.2,xm_019941637.1
ADCY6,Opiods,NM_015270,xm_015151586.1,xm_006520306.3,xm_017594670.1,xm_019807931.1,xm_012441318.1,nm_001143877.1,xm_017976022.1,xm_010997484.1,nm_001195147.1,xm_018047856.1,xm_005006495.2,xm_004428955.2,xm_012048479.1,xm_005406657.2,xm_008003074.1,xm_006870104.1,xm_004692802.2,xm_007651344.2,xm_012522573.1,xm_013018828.1,xm_004711420.1,xm_006902489.1,xm_008140615.1,xm_005611133.2,xm_016190568.1,xm_019834869.1,xm_008570684.1,xm_004053055.2,xm_013079032.1,xm_005324886.2,xm_004668559.1,xm_003405749.2,xm_005570722.2,xm_011760267.1,xm_011987627.1,xm_017640070.1,xm_013111218.1,xm_012757888.2,xm_013348699.1,xm_016201212.1,xm_007494024.2,xm_013049147.1,xm_008853656.2,xm_012508267.1,xm_004599359.2,xm_004638610.2,xm_004400882.1,xm_004274389.1,xm_017341825.1,xm_012807521.1,xm_015094700.1,xm_008951145.2,xm_016923516.1,xm_003906297.3,xm_009247674.1,xm_012654123.1,xm_011368236.1,xm_010354182.1,xm_016151735.1,xm_003927769.2,xm_004616917.1,xm_003481563.3,xm_004388270.1,xm_006168223.2,xm_019934074.1
ADCY8,1,NM_001115,xm_001084919.3,nm_009623.2,nm_017142.1,xm_002917618.2,xm_012461993.1,nm_001192841.1,xm_002807642.4,xm_010988790.1,xm_539166.5,xm_018058572.1,xm_003467348.3,xm_004431063.1,xm_012065585.1,xm_005398002.2,xm_008001549.1,xm_006830840.1,xm_004679589.1,xm_007634259.1,xm_012526721.1,xm_013025151.1,xm_004697391.1,xm_006879284.1,xm_008159467.1,xm_001916500.4,xm_007522730.1,xm_004000120.3,xm_008574415.1,xm_004047533.2,xm_004837939.1,xm_005316148.1,xm_004656171.2,xm_010588496.1,xm_005564082.2,xm_011760072.1,xm_011968626.1,xm_017661198.1,xm_005078687.2,xm_020289021.1,xm_005354547.1,xm_016215999.1,xm_007488342.2,xm_004743566.2,xm_008845490.1,xm_003256212.2,xm_004580732.1,xm_004634413.1,xm_004409835.1,xm_004265316.1,xm_002710549.3,xm_003782340.2,xm_015097656.1,xm_003830097.2,xm_016959869.1,xm_009213593.2,xm_009244100.1,xm_012647996.1,xm_011373832.1,xm_010380307.1,xm_016119822.1,xm_003933738.2,xm_004602452.1,xm_005662849.2,xm_004373008.1,xm_006156697.2,xm_019931940.1
AFF1,Alcohol,NM_001166693,xm_001095779.3,xm_006534801.3,xm_006250632.3,xm_011232362.2,xm_012437714.1,xm_005208211.3,xm_008993024.2,xm_010983119.1,xm_014109958.1,xm_018049702.1,xm_013151917.1,xm_014787870.1,xm_012040152.1,xm_005401342.2,xm_007999174.1,xm_006867744.1,xm_012724178.1,xm_007623061.2,xm_004467399.1,xm_013029841.1,xm_013004832.1,xm_006885319.1,xm_008143700.1,xm_014738525.1,xm_016191816.1,xm_019829263.1,xm_008585166.1,xm_004039081.2,xm_004870535.1,xm_005341933.2,xm_012949446.1,xm_010594060.1,xm_005555358.2,xm_011737758.1,xm_011990755.1,xm_017641131.1,xm_013117978.1,xm_020285352.1,xm_013350840.1,xm_016213073.1,xm_007495929.2,xm_013058060.1,xm_008851746.2,xm_012499547.1,xm_004590644.2,xm_012514263.1,xm_012564539.1,xm_004283994.1,xm_017347446.1,xm_012805303.1,xm_015096294.1,xm_003811253.2,xm_016951839.1,xm_017958842.1,xm_009240181.1,xm_012647228.1,xm_011356322.1,xm_010383132.1,xm_016161022.1,xm_010334776.1,xm_012934008.1,xm_013979043.1,xm_012559719.1,xm_006143268.2,xm_019926694.1
AKR1B1,1,NM_001346142,nm_001265861.1,nr_037965.1,nm_012498.1,xm_002927503.3,xm_012465765.1,nm_001012519.1,xm_017975627.1,nm_001319875.1,nm_001252416.1,nm_001314287.1,xm_003467875.3,xm_004430748.2,xm_012030003.1,xm_005377536.2,xm_007982975.1,xm_006861227.1,xm_004677059.2,xm_016967363.1,xm_004465769.2,xm_013021690.1,xm_004707821.1,xm_006887140.1,xm_008150514.1,xm_001500732.5,xm_007526545.2,xm_003983075.4,xm_008585411.1,xm_019030675.1,xm_004856310.2,xm_005331083.2,xm_004661196.1,xm_010600445.1,nm_001284080.1,xm_011723799.1,xm_011995824.1,xm_017665263.1,xm_005082387.2,xm_012739752.2,xm_005365803.1,xm_016222233.1,xm_001373778.4,xm_004741734.2,xm_008836068.2,xm_012512177.1,xm_004598187.2,xm_004626537.2,xm_004406368.2,xm_004272176.1,nm_001082287.1,xm_003791607.2,xm_004008077.2,xm_003813448.2,xm_001138232.4,xm_003896622.3,xm_002818477.2,xm_012650617.1,xm_011359534.1,xm_010357733.1,xm_016148766.1,xm_003920979.2,xm_004608250.1,nm_001001539.2,xm_012557362.1,xm_006144994.2,xm_019919873.1
ALB,3,NM_000477,nm_001195649.1,nm_009654.4,nm_134326.2,xm_002928492.3,xm_012464407.1,nm_180992.2,xm_002745737.3,xm_010982764.1,xm_005627967.2,xm_005681744.2,xm_005002671.2,xm_004419163.2,xm_012082983.1,xm_005392761.2,xm_007998862.1,xm_006871558.1,xm_004681219.2,xm_016980421.1,xm_012527832.1,xm_013020265.1,xm_013004810.1,xm_006898446.1,xm_008160888.1,nm_001082503.1,xm_007523550.2,nm_001009961.2,xm_008572456.1,xm_004038803.2,xm_004838013.2,xm_005333250.2,xm_004665352.1,xm_003414154.1,nm_001319355.1,xm_011733766.1,xm_011968975.1,xm_017665340.1,nm_001281649.1,xm_012744839.1,xm_005359472.2,xm_016209613.1,xm_001364821.2,xm_004766289.2,xm_008843466.2,xm_003265729.2,xm_004596189.2,xm_004645672.1,xm_004392910.2,xm_004283559.2,nm_001082344.1,xm_003790089.2,nm_001009376.1,xm_003832342.2,xm_517233.5,xm_017958777.1,nm_001133634.2,xm_012659857.1,xm_011360523.1,xm_010358998.1,xm_016154022.1,xm_010342589.1,xm_004617873.1,nm_001005208.1,xm_004383315.1,xm_006142912.2,xm_004322034.2
ALDOC,5,NM_005165,xm_015118897.1,nm_001303423.1,nm_012497.1,xm_002912326.3,xm_012449374.1,nm_001097984.2,xm_002748247.2,xm_010978979.1,nm_001286945.1,xm_018064308.1,xm_003469730.3,xm_004433378.2,xm_012072390.1,xm_005402747.2,xm_008010803.1,xm_006874205.1,xm_004684861.2,xm_016963713.1,xm_004449944.2,xm_013016354.1,xm_004706926.2,xm_006890956.1,xm_008147810.1,xm_001504145.4,xm_007530708.2,xm_003996488.4,xm_008582643.1,xm_004041999.2,xm_004856995.2,xm_005327822.1,xm_004664611.2,xm_003416914.2,xm_005583239.2,xm_011731949.1,xm_011997514.1,xm_017659915.1,xm_013118277.1,xm_012740703.2,xm_005349458.2,xm_016201928.1,xm_001368654.3,xm_004746996.2,xm_008840594.2,xm_012503497.1,xm_004593911.2,xm_004635413.1,xm_004399654.1,xm_004267132.1,xm_002718926.3,xm_012809747.1,xm_015098536.1,xm_003812674.2,xm_016930611.1,xm_003912508.3,xm_009251429.1,xm_012648268.1,xm_011359972.1,xm_010372327.1,xm_016139089.1,xm_010342043.1,xm_004605024.1,nm_001243928.1,xm_004385374.1,xm_006165446.2,xm_004314020.2
ALOX12B,Alcohol,NM_001139,xm_015118613.1,nm_009659.2,nm_001039377.1,xm_002921153.3,xm_012457540.1,nm_001192038.1,xm_017971692.1,xm_010996588.1,xm_546604.4,xm_005693543.3,xm_003466237.2,xm_004433102.2,xm_012051879.1,xm_005399437.2,xm_008010245.1,xm_006863398.1,xm_004684625.2,xm_007634595.1,xm_004485009.1,xm_013013178.1,xm_004712924.1,xm_006899147.1,xm_008153486.1,xm_001504803.3,xm_007522384.1,xm_003996189.2,xm_008563781.1,xm_004058536.2,xm_004857472.1,xm_005332837.1,xm_012951367.1,xm_003416770.2,xm_015437400.1,xm_011728025.1,xm_011994519.1,xm_017639847.1,xm_005067569.2,xm_012775723.1,xm_005349796.1,xm_016222440.1,xm_001364383.3,xm_004760235.1,xm_008855766.2,xm_012501293.1,xm_004594768.1,xm_004638439.1,xm_004398473.2,xm_004266879.1,xm_008270762.2,xm_003791119.1,xm_004012678.3,xm_003818051.2,xm_511864.5,xm_003912294.3,xm_009251269.1,xm_012655632.1,xm_011358905.1,xm_010362415.1,xm_016154653.1,xm_010339812.1,xm_004604849.1,xm_013990053.1,xm_004376008.2,xm_006151759.2,xm_019944084.1
APOD,Alcohol,NM_001647,xm_001098104.3,nm_001301354.1,nm_012777.1,xm_011227733.2,xm_012448971.1,xm_005201541.3,xm_008981429.2,xm_010994398.1,xm_014110289.1,xm_005675093.3,xm_003477099.3,xm_004424552.2,xm_012036751.1,xm_005383177.2,xm_008009599.1,xm_006869414.1,xm_012729573.1,xm_003495384.3,xm_004465905.1,xm_013019410.1,xm_004712279.2,xm_006884283.1,xm_008151621.1,xm_001500837.3,xm_007517423.2,xm_006936175.2,xm_008568143.1,xm_004038244.2,nm_001279841.2,xm_005340960.2,xm_004654541.1,xm_003412929.2,xm_005545330.1,xm_011723350.1,xm_011988980.1,xm_017661610.1,,xm_012780294.1,xm_005344815.2,xm_016200166.1,xm_001371943.3,xm_004745302.2,xm_008839016.1,xm_003280424.3,xm_004578244.2,xm_004644540.1,xm_004391869.2,xm_004278773.2,nm_001082258.2,xm_003792684.1,xm_004003026.3,xm_003807638.3,xm_516965.6,xm_009201988.1,xm_002814437.2,xm_012640184.1,xm_011381207.1,xm_010356720.1,xm_016135295.1,xm_003926188.2,xm_004603238.1,xm_001926063.6,xm_004373576.2,xm_006156752.1,xm_019922203.1
